RepeatId,GenerationId,Generations,Time,SubcloneSelect,SubcloneAlive,SubcloneTotal,CellSelectCount,CellAliveCount,CellNecroCount,CellTumorCount,CellLostCount,CellTotalCount,MeanDriversPerCell,ClonalDiversity,TreeBalance,TreeDepth,NodeCount,LeafCount,Branching
0,0,3798,00:00:00.0460000,1,1,1,743,743,258,1001,5517,6518,1,1,0,0,1,1,0
0,1,4334,00:00:00.0560000,1,1,1,1311,1311,693,2004,10400,12404,1,1,0,0,1,1,0
0,2,4960,00:00:00.0620000,1,1,3,2188,2188,1813,4001,20188,24189,1,1,0,0,1,1,0
0,3,5773,00:00:00.0970000,1,1,3,3685,3685,4335,8020,41463,49483,1,1,0,0,1,1,0
0,4,6801,00:00:00.1060000,1,1,5,6105,6105,9907,16012,85787,101799,1,1,0,0,1,1,0
0,5,8004,00:00:00.1320000,3,3,11,10119,10119,21895,32014,169829,201843,1.0090918074908588,1.0183758637139135,0,1,3,2,1
0,6,9288,00:00:00.1530000,5,5,15,17468,17468,46540,64008,313149,377157,1.2636249141286924,1.6360326972493149,0.00515760388225317,1,5,4,1
0,7,10168,00:00:00.1660000,3,3,16,32162,32162,95882,128044,471885,599929,1.8219638082208818,1.4138865874705266,0.0005016289069317281,1,3,2,1
0,8,10971,00:00:00.1770000,3,3,19,54518,54518,201628,256146,708907,965053,1.9733849370849994,1.0552717019156408,0,2,3,1,2
0,9,11938,00:00:00.1950000,9,9,40,88307,88307,423774,512081,1171555,1683636,1.9989468558551418,1.0047471603265843,0,2,9,7,1.1428572
0,10,13125,00:00:00.2250000,10,10,66,144850,144850,879443,1024293,2078531,3102824,2.0441698308595098,1.0929170291233983,0.002249507699161768,2,10,8,1.125
0,11,14176,00:00:00.2680000,19,19,118,294328,294328,1754646,2048974,3333878,5382852,2.7758962789812727,1.5704622604123089,0.003936867229640484,3,20,17,1.117647
0,12,14926,00:00:00.3150000,28,28,186,602169,602169,3497320,4099489,4746568,8846057,3.481228691613152,2.0559300553464452,0.0013798351865261793,4,29,25,1.12
0,13,15546,00:00:00.3780000,50,70,298,1151305,1151325,7044372,8195697,6462982,14658679,3.9142929110878524,1.1931141158029797,0.0002985989267472178,4,51,47,1.0638298
0,14,16183,00:00:00.5200000,78,120,512,2159769,2159829,14241435,16401264,9384998,25786262,4.080524352372869,1.2090096289268888,0.0005922137061133981,5,79,74,1.054054
0,15,16810,00:00:00.7050000,150,272,922,4010568,4010807,28762852,32773659,13826704,46600363,4.555937213880926,2.1560766851235247,0.0251869335770607,4,151,146,1.0273973
0,16,17388,00:00:01.0140000,274,560,1675,8721912,8722682,56896599,65619281,19611176,85230457,5.377942932696409,4.122123492834249,0.09315385669469833,6,275,258,1.0620155
0,17,17898,00:00:01.5340000,365,1094,3099,17681138,17684071,113405445,131089516,28704022,159793538,5.717500083987806,8.663770934564035,0.1671290099620819,5,366,342,1.0672514
0,18,18458,00:00:02.5750000,491,1908,5786,31034046,31042120,231135667,262177787,45839742,308017529,5.87130985112286,14.008116429858834,0.21112386882305145,5,492,456,1.0767543
0,19,19105,00:00:04.8700000,712,3470,11304,54471097,54492731,469988987,524481718,77051938,601533656,6.18685314892777,23.275004401497714,0.23317542672157288,6,713,660,1.0787879
0,20,19811,00:00:09.6060000,1185,6646,22199,101443364,101508096,947604245,1049112341,128691219,1177803560,6.794824588033181,36.79233899805961,0.2188951075077057,7,1187,1112,1.0665468
0,21,20481,00:00:18.3000000,2019,13925,43686,219783563,220013429,1877223944,2097237373,202305758,2299543131,7.972860481836851,87.2270432254438,0.27851611375808716,7,2020,1886,1.0705196
0,22,20502,00:00:18.7970000,2051,14292,44681,226135268,226375151,1921170303,2147545454,205186061,2352731515,8.017363479101366,90.38447572962305,0.27749013900756836,7,2052,1910,1.073822
